作者,user_token,回答,创建时间,赞同数,评论数
gjj,gjj-13-31,"儿孙自有儿孙福，没有儿孙我享福
而且我成长的经历告诉我，生儿子没用",2021-06-01 10:24:18,2640,273
IAmFine,wang-kan-19-16,达不兼济天下，怪穷独善其身,2021-05-31 16:40:06,1189,32
匿名用户,,"作为HR，我很负责任的说，女职工未来在职场上的弱势程度会更加明显。
一个实例：企业招聘一名财务人员，候选人薪资要求差不多，三名候选人。候选人1，女性，未婚单身，211大学财务专业硕士应届毕业；候选人2，男性，未婚单身，大专毕业，在非本行业企业做过两年会计；候选人3，女性，已婚未育，普通二本财务专业毕业，多年大型企业财务工作经验，能为企业财务管理带来新东西。
明面上一般人会觉得，那个211或者大型企业的资历很好，企业会选她们。但结果候选人3初试直接被淘汰，因为已婚未育。候选人1和2进入复试和总经理面试，总经理要了候选人2，因为他是男生。
我相信上面那个场景每天都在很多企业里上演。现阶段大部分岗位，企业更倾向于选择男性，而三胎放开后，只会更倾向于男性，为什么？看下面。
以下观点为一个岗位且候选人只有生育适龄女性的情况下：
生育适龄的女性求职，从企业的角度来看，最不想要的就是已婚未育，风险大成本高，入职一个月怀孕休产假的多了去了，说不定生完一个立马第二个，企业还得发工资，还不能开除她，哪个企业会招这么个定时炸弹。
其次是已婚一胎，分分钟会要第二个。而且一般家庭养两个其实没想象中那种特别大的压力。我也遇到过女同事，应聘的时候问会不会生二胎，那名女坚决的摇头斩钉截铁的说一个都烦死了，打死也不要第二个，经济状况也不允许。结果入职大约半年，夫妻措施没做好意外怀了，想了想还是生了，现在也没见生活因为两个而困难。
其次是非单身未婚女性。虽然存在着随时结婚生育的风险，但毕竟没结婚还可能分手，怀孕这事概率不算高。
再其次是单身未婚女性，不过有时企业也看长相进行评估风险度。
最后，也是企业在招适龄女性的时候最倾向于选择的就是已婚二胎的。
有人会问已婚三胎呢？目前无法界定，毕竟刚放开，还得看市场反应。但作为企业HR，面对一个二胎的和三胎的，我会选择二胎的，因为三胎的女性，分配到工作上的精力肯定没有二胎女性的多，工作效率就会有差别，在风险和投入产出比上，二胎女性的性价比会比三胎的高。
所以总体来说，三胎政策会引导企业在聘用生育适龄的女职工时会更加谨慎的考虑和选择。生育适龄女性在人力资源市场上的性价比会进一步降低。不过找工作还是能找到的，但找到好工作会越来越难。
－－－－－－分割线－－－－－
除了明面上成本的问题，还有就是隐形成本。比如女职工生育去了，她的工作总要人来做吧？女职工生育不来上班，但她编制名额是占着的啊。那工作能不能分担给已有人员？如果不能，要不要再招人？如果能，那分担工作的人企业要不要给他们涨工资？招了人，等女职工产假回来了，那给回来女职工干什么？原来五个人的活等你产假回来了就是六个人在干，那部门工作不饱和，那得精简人员吧，你女职工还占了一个名额，每天还要早下班一小时，每天还要想着刚出生的娃娃，工作效率肯定没有其他人高，按道理应该是清退最低性价比人员，但关键法律规定还不能开除你，强行开除要赔双倍，还会上劳动局案头。裁其他人么，哪有裁优不裁劣的道理。这样公司头疼、部门负责人头疼、HR头疼、法务头疼，其他员工人心惶惶，你还能心安理得提早下班。不生孩子，这些屁事都没有。
生一个都这样了，生三个？我想没有一个民营企业的老板能忍下一个女职工休三次产假。那宁愿不招，有男的招男的，没男的就按我前文所说的危险程度招危险程度最低的，有时候甚至没男的就不招了，名曰“宁缺毋滥”。
国家层面上肯定会规定平等，不得歧视，保护女职工，但女性要跳槽，在企业的选择上，生育情况往往就是一个很重要的指标。现阶段企业生存就难，谁会想花钱供着个生孩子的？哺乳期内还得早下班，还不能增加工作量，钱还不能少发，社保公积金一样不能少，还不能开除。遇到这种事情，老板都会骂HR你们当初怎么招的！TM又不是我们HR让女职工怀孕的。
公司的压力往往就到了HR身上，我们在筛选简历或者电话沟通的时候往往都会先问女性的生育或者感情状况。
所以有的女同志会奇怪，为什么我的资历都可以，简历投出去或者接个电话然后就石沉大海了。别问，问就去生两个或者去单身或者变男的。因为性价比往往比资历更重要。
活谁都能干，没有哪家企业想花费更高的成本或者冒更高的风险。
匿了。",2021-06-01 09:09:03,3225,1101
数据说,du-jia-zhong-de-xiao-mi-feng,"面对我国总和生育率降低，劳动人口减少，老龄化加剧的现状，国家颁布“三孩政策”刺激生育，延缓老龄化。
回顾二胎政策实施后，头胎生育率偏低，二胎生育率虽然提高了但是没过多久又下降了。育龄妇女头胎生育意愿减少，与生育观念改变、养育观念改变、女性职业规划等社会现象有很大关系。“一胎都不想生，别说二胎三胎”，“生不起，更养不起”的现实问题提醒年轻夫妇怀孕是需要考虑仔细，谨慎筹备的事情。如果国家不解决这些现实问题，那只能有更多的年轻人畏惧生娃养娃，“三孩政策”也无法起到调节人口结构的作用。
另外，家庭养老矛盾越来越激化，从养儿防老到养老防儿的转变，社保基金的压力，买房压力，医疗压力等，从上压着年轻人更要好好考虑怀孕，而上有老下有小，还要还房贷车贷等经济重担迫使他们努力工作，被迫996，甚至997，身体出现亚健康，精神容易抑郁，这个时候多了一个孩子，等于多出一大笔开销，还有人力精力，使得年轻人更谨慎地考虑生育。",2021-07-14 14:59:33,10,13
蓝小小,lan-xiao-xiao-20,"响应这个政策的实际上并不在乎这个政策
这个政策要影响的人也不需要这个政策
让这个政策留给政策本身吧",2021-05-31 16:48:27,864,66
蓝小小,lan-xiao-xiao-20,"响应这个政策的实际上并不在乎这个政策
这个政策要影响的人也不需要这个政策
让这个政策留给政策本身吧",2021-05-31 16:48:27,864,66
坚持乐观吧,wen-nuan-88-17,"因三次产假预期，女性就业难上加难（今年毕业就业的女应届生马上就可以看到了）。
因体制外就业难，女性涌入体制内（马上）。体制内女性占比过大，在各种抢险救灾等突发工作上的负面影响（比如地震洪水，新冠封锁，秸秆焚烧），十年之内就会逐渐显现。
在子女养老的法律和社会环境下，男女收入比例拉大，会使父母在生育上重男轻女性别选择加重。出生性别比进一步发展（因群体反应的滞后性，大概5-10年显现，最终数量不低于120，不高于150）
因女性整体收入减少，没能力负担婚姻所有经济而不能结婚的男人，也会大幅增加。结婚率大幅下降。（16年二胎放开后，结婚率是上升还是下降了？）
因结婚率降低和下一代育龄妇女减少，再下一代出生人口断崖式下降。（30年后）",2021-06-01 11:06:51,3111,1074
喵喵Riki,jiang-ze-yu-52-73,"更新：知乎小透明写个回答第一次有这么多人评论关注有点不知所措。有的小伙伴可能没太好好读我写的东西，所以有点像在批评我不想结婚不想生小孩儿的感觉，有点儿觉得我在挑起男生女生之间的斗争？
其实不是的！我只是在新华社发布了放开三胎政策时对自己在未来30多岁时跳槽找工作的担忧。
我今年刚刚硕士毕业于某双非财经院校（我当年高考考了623，没能去上我校的会计专业，内卷很严重）。因为我硕士是两年半学制，只参加了去年的秋招，就业形势非常严峻。比如，能够参加较好公司面试的几乎没有本科生，男生大多手握七八个很好的offer，而女生大多是一两个，只有各方面都特别优秀的女生才有可能与男生差不多。比如我们这届，华为来我们专业招聘时一共只要了两个男生，一个是财务岗月薪18000，一个产品经理年薪30。而据我所知没有要女孩子。而我本科毕业的时候，某中字头国企来我校招聘，男生在面试的教室外面，讨论要不要签约呢；女生在教室外排队，等待一个面试机会。包括我在国企工作搞技术的妈妈，她是非常优秀的，能代领一群男人搞项目，领着爬塔干活的人，却永远都不能晋升到她应有的位置，一直在普通工程师的位置上，连车间副主任的位置都不可能得到。这种例子数不胜数。这是我一个初出茅庐的学生都能切实感受到的男女就业的不平等，这种不平等让我很难受。
我一直是一个非常努力的人，我努力凭借自己的能力保研，考注会，进入四大审计。我付出了很多很多，头发都掉了不少哈哈哈。四大会计师事务所作为有名的“跳板”，让我不得不在初入职场就考虑未来30岁左右就必然要跳槽的事情。我只是对自己在未来可能由于这条政策而不得不面临的更严峻的男女就业歧视而担忧。我确实有点焦虑。我只是说，如果有这样的歧视，那我愿意急切的向用人单位“表忠心”，我可以独身，我可以不结婚不生小孩。我可能也会做出这样的选择来争取更好的岗位。因为我真的不甘心，我想有所成就来回馈自己过往的""努力”。这是不是有点“悲哀”。
我没有批判男性，我只是有点羡慕嫉妒他们而已。如果之前有言语不当的地方导致一些伙伴的不愉快，那我道歉。




以下是原回答：
我是女生，不知道男生都怎么想。
有点绝望，请国家放过我们女生吧。找工作中的男女歧视现象还不够多吗？！我在财经院校，很多企业，尤其是国企，注意是国企，在招聘的时候，直接是男生优先的啊！！女生比男生差在哪里呢？难道因为多了一个子宫吗？
我真的想工作[泪][泪]我不想因为我有可能结婚，有可能生三个孩子，而被用人单位嫌弃。我这么努力的读书，考证，我付出了这么多。我今年25岁，我读书都读了快20年了啊！！我不想仅仅因为我是个女生，而不是因为我能力不足专业不强，而直接被大公司放弃。国家的政策真的能撼动资本的性别选择吗？
我越来越觉得，婚姻和孩子就好像是我人生的枷锁。如果可能，我也许要选择独身了。",2021-05-31 21:18:30,1293,738
雪尘,demon-77-45,"鉴于我狭隘的个人见识，我就来写写对女性的影响吧。
这政策出来的我第一眼的想法就是，八零九零的独生女时代结束了。
之所以说是独生女时代结束呢，是有原因的。计划生育的最大得利者，我觉得是独生女。我作为一个既得利益者，深有体会。
在过去多子女家庭，能够做到资源公平分配的家庭并不多。我们不得不承认，大部分家庭，还是以儿子为主的。无论独生不独生，作为儿子在家庭里的资源占比永远是不用担心的。剩下的姑娘们，不管是姐姐还是妹妹，总归逃不了嫁出去这条路，大体上都是会认为是不需要太多资源的，顶多给点嫁妆就得了。


虽然大家都说三胎政策非强制性，可生可不生，大家躺平就行。实际上是不一样的，在生育这块可以躺平，但在用工企业方面，他们考虑用人成本，肯定还是更偏向不需要生孩子的男性。
这个政策的作用并非是直接导向生育率的提高，最直接的作用是让女性在职场这块更加无力，且这个无力是上层默认的。女性在职场方面受阻越大，再加上失去了独生女的身份，很多时候行事必然没有以前那么随意了，最后的结果必然是回归家庭。而回归家庭后，本身收入少甚至没有收入，更加需要依赖男性，这样的局面直接可以解决了前阵子大家说的剩女晚婚的事情。


我记得之前我在回答“全职妈妈”相关问题的时候，有部分的女性在我的回答下面跳脚，她们声称“女权能发展到今天完全是很多职业女性努力的结果”。
实际上，我们现在在回头看看这个问题就会知道，所谓的职业女性努力的结果是多么无力。她们以为的是女性选择了去做职业女性，却不知道是之前的计划生育政策给独生女带来的福利。
可以这样说，没有计划生育政策，大部分女性在家庭里是得不到教育投资的，她们更不可能得到父母全方面的关爱和培养，更枉论出国留学或者在更好的工作岗位就职。
简单说，是政策成就了独生女，而不是独生女成就了政策。这个逻辑捋顺了，现在就知道，同样是政策，三胎政策对于未来女性的前路是多么大的影响。
这就好像有人因为早生了几年，在房价便宜的时候正是需要谈婚论嫁的时候，于是顺理成章地上了车。不过是占了历史车轮的便宜，却以为是自己的功劳一样。


我非常地感慨，以后最起码几十年内，女性的地位都会呈现断崖式的下降。当然，我并不是针对男性，这无关男权女权，实际上只是作为一个女性，对于我们未来的发展的惶恐。
像我也是独生女，我可以嫁层次比我高的老公，可以跟他谈独立跟他谈公平，真正的底气是什么？是我有自己的父母，我有退路。纵使对方家财万贯，我无欲则刚，只要我不贪图对方的钱财，我不怕承担自己的责任，我都可以和对方平等相处。
可到了我女儿这一代，大抵是不可能了。我想想，以后大概我的孙女辈跟我聊天的时候，大概会惊叹于我的时代女性会有那样空前高涨的地位。",2021-06-01 22:28:54,994,551
二十四两君,yi-wen-liu-25,"感谢新华社的邀请，不过还是想问一句运营微博的朋友，尴尬不？
大家不要过分将自己带入角色，政策的对象不是知乎上这些还没生过孩子的群体。
大家没有三辆法拉利的原因难道是因为限购吗？
生了三孩还得办满月酒，利好茅台！",2021-05-31 16:26:27,479,48
